lg_SLA,lg_Na,SLA,Na,treatment
cm2 g-1,g m-2,cm2 g-1,g m-2,
2.174059808,0.164037432,149.3,1.45894,CO2-E
2.031812271,-0.054088666,107.6,0.882899628,CO2-E
2.088576035,-0.113509275,122.624157,0.77,CO2-E
2.405687787,-0.115125655,254.5,0.7671395,CO2-E
2.181700704,-0.024268655,151.95,0.945652,CO2-E
2.250420002,-0.167634632,178,0.679775281,CO2-E
2.338962212,0.241908046,218.254,1.745452546,CO2-E
2.172630727,-0.013228266,148.8095238,0.97,CO2-E
2.310451144,0.011192846,204.386,1.026107463,CO2-E
2.184407485,-0.010857768,152.9,0.975309,CO2-E
2.264817823,0.201225011,184,1.58937,CO2-E
2.331275419,-0.073429146,214.425,0.844444,CO2-E
2.183744223,0.212816098,152.6666667,1.63236058,CO2-E
2.140852092,0.211666151,138.3095257,1.628044048,CO2-E
2.382318653,0.161003598,241.1674286,1.448783857,CO2-E
2.301029996,0.069325779,200,1.173075,CO2-E
2.196482281,0.262208956,157.210765,1.82898,CO2-E
2.190331698,0.322885902,155,2.103225806,CO2-E
2.237418056,-0.105117066,172.75,0.785024,CO2-E
2.301029996,0.049218023,200,1.12,CO2-E
2.018904494,0.258946813,104.44905,1.815293333,CO2-E
2.410274341,0.3022171,257.202,2.005474296,CO2-E
1.888179494,-0.147816804,77.3,0.711513583,CO2-E
2.527499524,-0.385202936,336.8988461,0.411905,CO2-E
2.353788045,-0.110536974,225.8333333,0.775287937,CO2-E
2.073651681,0.104309533,118.4818104,1.27148,CO2-E
2.256477206,0.073936567,180.5,1.185595568,CO2-E
2.49382968,-0.184880518,311.7666667,0.653310265,CO2-E
2.30871591,-0.043089259,203.571,0.905546468,CO2-E
1.828946217,0.149740935,67.44445,1.411695189,CO2-E
2.495492996,-0.137320114,312.963,0.728920032,CO2-E
1.985426474,0.368802087,96.7,2.337771646,CO2-E
1.981592117,0.490189995,95.85,3.091647673,CO2-E
2.28780173,0.096910013,194,1.25,CO2-E
2.239799818,-0.146378133,173.7,0.713874496,CO2-E
1.891096872,0.097951071,77.82101167,1.253,CO2-E
2.08249449,0.002856926,120.9189843,1.0066,CO2-E
1.937042166,0.076057596,86.50519031,1.1914,CO2-E
2.057495894,0.116009679,114.1552511,1.3062,CO2-E
1.92390296,0.330774453,83.92724359,2.141778,CO2-E
2.176064651,0.022217978,149.9908102,1.05249,CO2-E
2.375279843,0.003675903,237.2902222,1.0085,CO2-E
2.055166092,0.254124935,113.5444973,1.79525,CO2-E
2.323975262,0.192553502,210.8508041,1.557949952,CO2-E
2.23256212,0.21559519,170.829205,1.642839701,CO2-E
2.10217833,0.286128492,126.5255781,1.93254,CO2-E
2.235568845,0.218036891,172.016,1.65210213,CO2-E
2.384213586,-0.036212173,242.222,0.92,CO2-E
2.169439299,0.172193037,147.72,1.486596263,CO2-E
2.107888025,0.142531977,128.2,1.388455538,CO2-E
2.267605806,0.354403978,185.185,2.261538462,CO2-E
2.117271296,0.149900433,131,1.41221374,CO2-E
2.046124314,0.200526883,111.205,1.58681714,CO2-E
2.281033367,-0.099189779,191,0.795811518,CO2-E
2.000893726,0.347561069,100.206,2.226184061,CO2-E
1.998477303,0.10233078,99.65,1.2657,CO2-E
1.950851459,0.373430996,89.3,2.362821948,CO2-E
2.00619851,0.337459261,101.4374936,2.175,CO2-E
2.073107098,0.253874849,118.3333333,1.794216512,CO2-E
2.164352856,0.290410837,146,1.95169,CO2-E
2.203848464,0.201225011,159.9,1.58937,CO2-E
1.929322805,0.301300694,84.9811894,2.001247,CO2-E
1.999288749,0.241795431,99.83636242,1.745,CO2-E
2.468544245,-0.268038754,294.1333333,0.539462482,CO2-E
2.308246312,0.367532029,203.351,2.330945016,CO2-E
2.167524092,0.237309624,147.07,1.727068743,CO2-E
2.207634367,-0.006237243,161.3,0.985740856,CO2-E
2.2999429,0.179920727,199.5,1.513285,CO2-E
2.23172606,-0.284129471,170.5006581,0.519841,CO2-E
2.336459734,0.341147219,217,2.193548387,CO2-E
2.311753861,0.314586506,205,2.063414634,CO2-E
2.278410601,0.197550702,189.85,1.57598,CO2-E
2.474216264,-0.158245919,298,0.694630872,CO2-E
2.624996392,0.084641546,421.693,1.215182609,CO2-E
2.225177422,0.305275861,167.949,2.019648822,CO2-E
2.217483944,0.293362555,165,1.965,CO2-E
1.893809103,0.350248018,78.30853563,2.24,CO2-E
2.157677542,0.068383547,143.7730687,1.170532689,CO2-E
1.662757832,0.488085793,46,3.076704545,CO2-E
2.192918923,0.21248325,155.9261383,1.63111,CO2-E
2.744727495,-0.148741651,555.5555556,0.71,CO2-E
2.142389803,0.354267587,138.8001078,2.260828333,CO2-E
1.980003372,0.319514125,95.5,2.08696,CO2-E
2.487513374,0.267171728,307.2651986,1.85,CO2-E
2.37654046,-0.320398198,237.98,0.478191445,CO2-E
1.462397998,0.525044807,29,3.35,CO2-E
1.674861141,0.173878271,47.3,1.492376052,CO2-E
2.11058971,0.272470674,129,1.872710623,CO2-E
2.252853031,0.223106381,179,1.6715,CO2-E
1.833147112,-0.072002775,68.1,0.847222,CO2-E
2.083980129,0.259922187,121.3333333,1.819374851,CO2-E
2.193124598,0.205166456,156,1.60386,CO2-E
2.010105436,-0.022276395,102.3541453,0.95,CO2-E
1.935916564,0.292256071,86.28127696,1.96,CO2-E
1.82672252,0.106456086,67.1,1.27778,CO2-E
1.547159121,0.498310554,35.25,3.15,CO2-E
1.692315839,0.414354037,49.23975,2.596295,CO2-E
2.036671893,-0.020679606,108.8107723,0.953499333,CO2-E
2.045925667,0.176814481,111.1541461,1.5025,CO2-E
1.530199698,0.534258291,33.9,3.421828909,CO2-E
2.167012927,0.207120386,146.897,1.611092166,CO2-E
2.352365848,-0.111370993,225.095,0.773800502,CO2-E
1.992679047,0.211440936,98.32841691,1.6272,CO2-E
2.20941976,0.2509077,161.9644723,1.782,CO2-E
2.198816482,0.290756545,158.058,1.953244209,CO2-E
2.140781355,0.298683231,138.287,1.989221895,CO2-E
2.06694679,0.230448921,116.6666667,1.7,CO2-E
2.087096324,0.030928097,122.2070678,1.073811616,CO2-E
2.112269768,0.222183983,129.5,1.667953668,CO2-E
2.112269768,0.06069784,129.5,1.15,CO2-E
2.330413773,0.043362278,214,1.105,CO2-E
2.330413773,0.064240788,214,1.15942,CO2-E
2.465878339,0.089316812,292.3333333,1.22833496,CO2-E
2.51851394,-0.166586283,330,0.681418182,CO2-E
2.260193069,-0.166459784,182.051,0.68161669,CO2-E
2.105755364,0.512695445,127.572,3.256082839,CO2-E
2.288249226,-0.151528658,194.2,0.70545829,CO2-E
2.477121689,-0.317898265,300.0003,0.480952,CO2-E
2.299014543,-0.031554751,199.074,0.929919273,CO2-E
1.702430536,0.330993219,50.4,2.142857143,CO2-E
1.831775742,0.247405504,67.8853,1.767687555,CO2-E
2.099502876,-0.355295597,125.7485181,0.44127,CO2-E
2.252134274,0.103585975,178.704,1.269363409,CO2-E
1.726727209,0.298578656,53.3,1.988742964,CO2-E
2.795880017,-0.331987028,625,0.4656,CO2-E
2.120573931,0.321905838,132,2.098484848,CO2-E
2.171682583,-0.061893974,148.485,0.867173557,CO2-E
2.336903808,0.008600172,217.222,1.02,CO2-E
2.14113609,-0.133056692,138.4,0.736111,CO2-E
1.905528871,0.281991849,80.45052293,1.91422,CO2-E
2.264829219,0.11608409,184.0048283,1.30642382,CO2-E
2.078701154,0.10959137,119.867419,1.287038,CO2-E
2.28780173,-0.080416223,194,0.830967,CO2-E
2.10921564,-0.248158426,128.5925,0.564730929,CO2-E
2.01911629,0.10398595,104.5,1.270533,CO2-E
2.24674471,-0.059902822,176.5,0.8711585,CO2-E
2.219197208,0.269691295,165.6522,1.860764,CO2-E
1.727541257,0.135781603,53.4,1.367041199,CO2-E
2.052936218,0.370940155,112.963,2.349309066,CO2-E
2.098835742,0.149219113,125.5555,1.41,CO2-E
2.224092588,-0.002939267,167.53,0.993254939,CO2-E
2.458773781,-0.229091938,287.59,0.59007615,CO2-E
2.090610708,-0.233278211,123.2,0.584415584,CO2-E
2.325138859,-0.320817485,211.4164905,0.47773,CO2-E
2.328379603,-0.038344992,213,0.915492958,CO2-E
2.28780173,-0.062492448,194,0.865979381,CO2-E
2.072984745,-0.240475832,118.3,0.574809806,CO2-E
2.212187604,-0.243704656,163,0.570552147,CO2-E
2.281033367,-0.298762134,191,0.502617801,CO2-E
2.173186268,-0.209398441,149,0.617449664,CO2-E
